DEPTH,CALI,CGR,DRHO,DT,GR,LLD,LLS,MSFL,NPHI,PEF,RHOB
3546.348,212.1416,32.737,3.2321,175.1706,37.2024,46.5039,43.7024,1742.427,0.048016,8.8447,2720.7498
3546.5004,212.1297,34.6193,2.9134,178.3298,38.9225,44.2587,47.2432,1742.427,0.046658,8.6091,2726.1558
3546.6528,210.8297,30.4967,2.0748,177.5566,38.7075,45.7337,46.3252,1742.427,0.041101,8.3643,2732.0005
3546.8052,209.8367,28.6765,-1.4131,178.0912,38.7729,46.9157,44.9158,1742.427,0.039745,8.1658,2729.0659
3546.9576,210.6332,29.326,6.6159,177.5645,41.122,48.162,48.5066,1742.427,0.037792,8.3292,2722.7463
3547.11,212.4729,30.9879,11.8714,175.4886,39.9877,48.9934,51.8899,1742.427,0.030456,8.0431,2721.053
3547.2624,211.5463,21.9016,14.599,174.0832,34.8753,49.4713,49.831,1742.427,0.021554,7.4992,2726.6487
3547.4148,210.1846,19.0187,20.2138,174.7003,29.4026,47.4811,51.1809,1742.427,0.017278,7.1644,2730.9011
3547.5672,210.2663,21.0836,28.6597,173.8126,28.8178,44.7375,50.9447,1742.427,0.018482,7.1121,2729.4875
3547.7196,210.1881,21.7026,29.397,173.5564,29.5438,44.5078,43.463,1772.4175,0.021992,7.5943,2730.2549
3547.872,211.5132,21.2598,28.7405,173.8077,31.8729,42.3368,35.6468,1751.373,0.024885,8.0486,2733.3704
3548.0244,211.3421,20.8691,21.3993,173.8845,32.3457,39.3069,39.3212,1749.8719,0.025568,8.246,2734.4512
3548.1768,210.851,20.8978,17.586,174.3581,33.7023,37.5817,37.1383,1758.8608,0.024217,8.269,2727.1667
3548.3292,210.7406,17.0922,14.7254,174.7698,31.1398,36.7671,34.365,1754.6925,0.022035,8.4233,2713.4368
3548.4816,210.7406,14.9455,12.181,174.8688,29.1404,35.0551,35.2712,1794.7408,0.019952,9.0394,2703.2754
3548.634,210.7406,15.0492,10.3741,174.2202,28.0045,35.1063,34.2271,1818.7279,0.018761,9.5051,2700.866
3548.7864,212.6336,19.3063,10.5073,174.0932,31.205,36.0612,32.6828,1798.2972,0.019158,9.4983,2706.4316
3548.9388,214.3272,26.0124,6.9425,174.2126,35.4906,36.1228,33.5163,1780.9336,0.020067,9.3707,2718.4419
3549.0912,214.5919,26.6831,3.649,173.2413,36.2274,35.6894,39.3205,1803.2302,0.019659,9.1254,2730.613
3549.2436,214.511,22.9252,4.0456,172.0105,32.9636,36.6505,40.0923,1820.579,0.017478,8.6437,2735.0925
3549.396,213.5253,19.4384,6.613,171.0447,28.274,36.9397,38.7985,1820.579,0.015166,8.0065,2732.3704
3549.5484,213.1454,17.923,8.1174,170.2561,25.1862,36.2302,39.3579,1820.579,0.014259,7.385,2729.0227
3549.7008,212.5112,16.8237,10.4143,170.2807,23.8209,34.8673,38.2436,1820.579,0.014837,6.9425,2726.8884
3549.8532,211.1488,15.2057,13.9932,171.7193,23.2,31.9981,34.982,1820.579,0.016313,6.7152,2724.7993
3550.0056,210.7406,13.9423,15.107,173.2045,22.7197,29.0248,30.1596,1820.579,0.017748,6.6739,2722.3196
3550.158,210.7406,13.3638,13.8843,173.1215,23.1535,27.5398,25.5897,1820.579,0.01873,6.9369,2721.3879
3550.3104,210.7406,13.8036,15.0888,172.4346,25.1985,26.7222,23.4004,1820.579,0.019953,7.6407,2723.9778
3550.4628,210.7406,16.0084,20.1589,172.6385,27.7427,25.327,23.9686,1820.579,0.022185,8.7265,2728.1719
3550.6152,210.8912,18.9916,22.5102,172.8549,29.3076,23.7062,24.8178,1820.579,0.025202,9.638,2730.79
3550.7676,211.1375,17.8357,-999.25,172.4832,28.4091,21.7854,23.9774,1820.579,0.027608,9.6582,2729.4626
3550.92,211.4983,13.3356,-999.25,172.602,26.6733,19.8038,21.9218,1820.579,0.028203,9.1282,2725.3906
